user,song_id,play_count,song,album,artist,year
gAwXwn0dNWH4dR56,FC69BA8E381F4D718587015E97F875FA,3,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
6hmPrcOMqHZtMDca,FC69BA8E381F4D718587015E97F875FA,5,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
PekTfZ89ICuCXYCk,FC69BA8E381F4D718587015E97F875FA,3,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
tRFa8WSFTfn3xgHr,FC69BA8E381F4D718587015E97F875FA,5,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
ofgLnCWpOlIcr2kN,FC69BA8E381F4D718587015E97F875FA,3,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
rFOl6CdRuY7JXXul,FC69BA8E381F4D718587015E97F875FA,4,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
6q36qO0BTwj5Cv5P,FC69BA8E381F4D718587015E97F875FA,2,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
z7zrBaMYH2HSSA7D,FC69BA8E381F4D718587015E97F875FA,3,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
832f4D0ltCxNUlmU,FC69BA8E381F4D718587015E97F875FA,1,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
BImwUixVa713NStp,FC69BA8E381F4D718587015E97F875FA,1,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
pRaAaauwsMzoIiFG,FC69BA8E381F4D718587015E97F875FA,2,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
yQ7Kq5VaPipRSR0I,FC69BA8E381F4D718587015E97F875FA,4,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
Tchrj4ncyoxxlX6q,FC69BA8E381F4D718587015E97F875FA,2,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
gWquIBPyORKyXIzt,FC69BA8E381F4D718587015E97F875FA,2,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
J023z3MNs7NVbL3k,FF1F31FCD4E641CABF03F95122B57989,4,喜欢你,Beyond 25Th Anniversary,Beyond,2008
nW7io4yB6wLMqUTg,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
gAwXwn0dNWH4dR56,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
BPAzapEohGq0PjbJ,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
HqaWlaIkodVV7hw0,FF1F31FCD4E641CABF03F95122B57989,1,喜欢你,Beyond 25Th Anniversary,Beyond,2008
SZjm3htDy3hgyXAL,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
zXvmeQmPJ74qixmW,FF1F31FCD4E641CABF03F95122B57989,3,喜欢你,Beyond 25Th Anniversary,Beyond,2008
JE1Vwrvqr8mWkYma,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
pozejg8ZQEDkwXGS,FF1F31FCD4E641CABF03F95122B57989,2,喜欢你,Beyond 25Th Anniversary,Beyond,2008
gcGXIr08VNgbdLuM,FF1F31FCD4E641CABF03F95122B57989,0,喜欢你,Beyond 25Th Anniversary,Beyond,2008
LsqbxJvoNQJPhWPk,FF1F31FCD4E641CABF03F95122B57989,5,喜欢你,Beyond 25Th Anniversary,Beyond,2008
FEUPEe50aqPcrR6L,6F77397C76564852B5091E1B5A283E7F,2,大地,Beyond 25Th Anniversary,Beyond,2008
jlrJUBaqNBmcxFKH,6F77397C76564852B5091E1B5A283E7F,6,大地,Beyond 25Th Anniversary,Beyond,2008
sriPmdIA0GFAwy4P,6F77397C76564852B5091E1B5A283E7F,1,大地,Beyond 25Th Anniversary,Beyond,2008
Jue5fMYt6hV2Qk1q,6F77397C76564852B5091E1B5A283E7F,1,大地,Beyond 25Th Anniversary,Beyond,2008
DBl0LTJ37RV9a0eL,6F77397C76564852B5091E1B5A283E7F,4,大地,Beyond 25Th Anniversary,Beyond,2008
Y95dkUFpZAaACQKh,6F77397C76564852B5091E1B5A283E7F,1,大地,Beyond 25Th Anniversary,Beyond,2008
EtGrBKEqNp1Qvfq6,6F77397C76564852B5091E1B5A283E7F,0,大地,Beyond 25Th Anniversary,Beyond,2008
jgsUbFVsN6MDYHKL,6F77397C76564852B5091E1B5A283E7F,2,大地,Beyond 25Th Anniversary,Beyond,2008
eAHbYpOtkFZZ8UEA,6F77397C76564852B5091E1B5A283E7F,5,大地,Beyond 25Th Anniversary,Beyond,2008
sNWz4dXqeR06NxNb,6F77397C76564852B5091E1B5A283E7F,3,大地,Beyond 25Th Anniversary,Beyond,2008
rcbzBEmC5XrnOQEW,6F77397C76564852B5091E1B5A283E7F,3,大地,Beyond 25Th Anniversary,Beyond,2008
zgGISdugDfbYkPCj,6F77397C76564852B5091E1B5A283E7F,3,大地,Beyond 25Th Anniversary,Beyond,2008
oM2NQs9NNk3ohXwi,6F77397C76564852B5091E1B5A283E7F,3,大地,Beyond 25Th Anniversary,Beyond,2008
Qvt1YVVAG59Kjk4h,6F77397C76564852B5091E1B5A283E7F,3,大地,Beyond 25Th Anniversary,Beyond,2008
klcET5A6Yw1YqE03,6F77397C76564852B5091E1B5A283E7F,2,大地,Beyond 25Th Anniversary,Beyond,2008
6dKz9MVFHENGCywj,9EC98F4C6EAC42B0AB596D49E5D1BF06,3,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
3YoXOsQjTpU3WU4x,9EC98F4C6EAC42B0AB596D49E5D1BF06,1,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
pD184EIwpWR0NXgB,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
LsWU9WAGa8XmJr21,9EC98F4C6EAC42B0AB596D49E5D1BF06,1,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
zd3Ko4Hp9C4cjGJB,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
MIYJLrcX1QdT5e6P,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
YdNLeeK1CqQeBIIf,9EC98F4C6EAC42B0AB596D49E5D1BF06,4,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
HQ5S91STvDRWGfT1,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
JWkHDGkwchyeZ9Kb,9EC98F4C6EAC42B0AB596D49E5D1BF06,1,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
pe4sLPtj6dXbTvsF,9EC98F4C6EAC42B0AB596D49E5D1BF06,0,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
ApauDtJD8LDT4lTE,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
1DknSV5zPsuo3d81,9EC98F4C6EAC42B0AB596D49E5D1BF06,6,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
81rPEVM1h2luP8Mk,9EC98F4C6EAC42B0AB596D49E5D1BF06,4,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
vI8S8jRKJ5DBcNzO,9EC98F4C6EAC42B0AB596D49E5D1BF06,1,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
F9pvIRtVqcy8q6Wf,9EC98F4C6EAC42B0AB596D49E5D1BF06,4,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
2ZJz43nFb7EhH2GZ,9EC98F4C6EAC42B0AB596D49E5D1BF06,3,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
OM05iSZDNSvGDoxw,9EC98F4C6EAC42B0AB596D49E5D1BF06,3,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
jOHtORyVveN4SRHJ,9EC98F4C6EAC42B0AB596D49E5D1BF06,5,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
kWzwuBzRS7HEmdTY,9EC98F4C6EAC42B0AB596D49E5D1BF06,3,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
ygaWxQia8ftU2mOR,9EC98F4C6EAC42B0AB596D49E5D1BF06,4,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
XjfWfVKggYG5Qy4F,9EC98F4C6EAC42B0AB596D49E5D1BF06,0,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
y9IGQ211K5qDmZD1,9EC98F4C6EAC42B0AB596D49E5D1BF06,0,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
T50Fqd8uyK0obOVT,9EC98F4C6EAC42B0AB596D49E5D1BF06,7,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
5fiESWJ9gTreJhda,9EC98F4C6EAC42B0AB596D49E5D1BF06,3,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
klcET5A6Yw1YqE03,9EC98F4C6EAC42B0AB596D49E5D1BF06,2,海阔天空,BEYOND：华纳我爱经典系列,Beyond,1998
yhElpY20vrZLJXBT,64F0A5105DB0476D87A99878DEBCCD85,2,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
d6Bwng1B0XnX1vDZ,64F0A5105DB0476D87A99878DEBCCD85,4,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
FEUPEe50aqPcrR6L,64F0A5105DB0476D87A99878DEBCCD85,2,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
KfTygL4k5rTFLBwN,64F0A5105DB0476D87A99878DEBCCD85,2,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
oL5jOhi87864iBm2,64F0A5105DB0476D87A99878DEBCCD85,6,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
xlwLm3MHz2oZyIaa,64F0A5105DB0476D87A99878DEBCCD85,0,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
DH1kvqn5dQexv6e2,64F0A5105DB0476D87A99878DEBCCD85,2,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
iUOB64UUh6WoQmeY,64F0A5105DB0476D87A99878DEBCCD85,3,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
ZDSL4v2RU1y2fGV3,64F0A5105DB0476D87A99878DEBCCD85,4,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
ENh4RMDVvTFQWoOV,64F0A5105DB0476D87A99878DEBCCD85,1,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
F9pvIRtVqcy8q6Wf,64F0A5105DB0476D87A99878DEBCCD85,3,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
MgdTeVzwP4gZGG7t,64F0A5105DB0476D87A99878DEBCCD85,4,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
TWeKLWo5CBjRLUSS,64F0A5105DB0476D87A99878DEBCCD85,5,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
qmRjCMUVGlcWUJiC,64F0A5105DB0476D87A99878DEBCCD85,3,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
ARtTQLb5SKA8MVye,64F0A5105DB0476D87A99878DEBCCD85,4,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
PVJrxNqFOTqJzSij,64F0A5105DB0476D87A99878DEBCCD85,5,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
X52fDGbQkPz5Lr8m,64F0A5105DB0476D87A99878DEBCCD85,2,灰色轨迹,《天若有情》电影原声大碟,Beyond,1990
Tx08SlmMqQRwRMUr,319A7916AA264C428E4B1B3628312228,3,真的爱你,Beyond IV,Beyond,1989
y9i1FNztHktFUGng,319A7916AA264C428E4B1B3628312228,1,真的爱你,Beyond IV,Beyond,1989
a84KpdhFV8JRRh49,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
xlwLm3MHz2oZyIaa,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
l09RXWlZ2jzARgQA,319A7916AA264C428E4B1B3628312228,0,真的爱你,Beyond IV,Beyond,1989
x1jvuWZ0Td2akQdS,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
wki5qZwrLlzLGGI8,319A7916AA264C428E4B1B3628312228,4,真的爱你,Beyond IV,Beyond,1989
O0W0Xe0HFGKbhS5I,319A7916AA264C428E4B1B3628312228,6,真的爱你,Beyond IV,Beyond,1989
yLVatVfYm6bn7YEI,319A7916AA264C428E4B1B3628312228,0,真的爱你,Beyond IV,Beyond,1989
FhhzMKIp4BLfWriQ,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
gG73KLVIDEOsf9lM,319A7916AA264C428E4B1B3628312228,6,真的爱你,Beyond IV,Beyond,1989
5j9Z2X7KEQizp2mL,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
1O8eHuJ9BJhXEUwd,319A7916AA264C428E4B1B3628312228,4,真的爱你,Beyond IV,Beyond,1989
sSjy3kZ7Y2WnnYDk,319A7916AA264C428E4B1B3628312228,3,真的爱你,Beyond IV,Beyond,1989
CFFuaxK9PwEcBJMM,319A7916AA264C428E4B1B3628312228,4,真的爱你,Beyond IV,Beyond,1989
53dv0SzhsorMHYL3,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
I5ratFgGU92Q7Rjk,319A7916AA264C428E4B1B3628312228,2,真的爱你,Beyond IV,Beyond,1989
c3ZaClDL82uAspKD,1E2730E40D0C42ADBB94441823841C0B,2,遥望,海阔天空,Beyond,1993
Fn6zMLtYKDb9MOq7,1E2730E40D0C42ADBB94441823841C0B,1,遥望,海阔天空,Beyond,1993
dFCAIFRvIyDWXkDz,1E2730E40D0C42ADBB94441823841C0B,1,遥望,海阔天空,Beyond,1993
hBI1ahbU1YtdDE5o,1E2730E40D0C42ADBB94441823841C0B,0,遥望,海阔天空,Beyond,1993
ApsA241qIQQDuZZI,1E2730E40D0C42ADBB94441823841C0B,2,遥望,海阔天空,Beyond,1993
QSHyKGrF6ueCcBDy,1E2730E40D0C42ADBB94441823841C0B,1,遥望,海阔天空,Beyond,1993
NJKNe2pfXt6sntS2,1E2730E40D0C42ADBB94441823841C0B,0,遥望,海阔天空,Beyond,1993
OXo9GUcoLbNZk85O,1E2730E40D0C42ADBB94441823841C0B,2,遥望,海阔天空,Beyond,1993
G8Kqnq4YRXncSkYl,1E2730E40D0C42ADBB94441823841C0B,2,遥望,海阔天空,Beyond,1993
pPPyEA9DU7OIOPRS,1E2730E40D0C42ADBB94441823841C0B,0,遥望,海阔天空,Beyond,1993
zIc7FA8Q31rDBXn5,1E2730E40D0C42ADBB94441823841C0B,5,遥望,海阔天空,Beyond,1993
ES5aYd6ZBbMy971x,1E2730E40D0C42ADBB94441823841C0B,5,遥望,海阔天空,Beyond,1993
gwFAvp7i6jOBvEUV,1E2730E40D0C42ADBB94441823841C0B,3,遥望,海阔天空,Beyond,1993
sVcyvwRPI7bJYKN2,1E2730E40D0C42ADBB94441823841C0B,1,遥望,海阔天空,Beyond,1993
pekJbFw6dk8FizTI,1E2730E40D0C42ADBB94441823841C0B,5,遥望,海阔天空,Beyond,1993
HXMvOFEDy5XtYCEw,1E2730E40D0C42ADBB94441823841C0B,3,遥望,海阔天空,Beyond,1993
obsMj8AYVM4SnWP1,1E2730E40D0C42ADBB94441823841C0B,3,遥望,海阔天空,Beyond,1993
SdzHKFNI0HiADh2R,1E2730E40D0C42ADBB94441823841C0B,7,遥望,海阔天空,Beyond,1993
2Swwu4PW1lFkXqKC,1E2730E40D0C42ADBB94441823841C0B,0,遥望,海阔天空,Beyond,1993
zTSDD3IvEyX90tbN,1E2730E40D0C42ADBB94441823841C0B,2,遥望,海阔天空,Beyond,1993
O1jpcHJQq08jiwYe,1E2730E40D0C42ADBB94441823841C0B,1,遥望,海阔天空,Beyond,1993
c3NhdfaDv1QeAcPc,1E2730E40D0C42ADBB94441823841C0B,4,遥望,海阔天空,Beyond,1993
xHzaQfgS0B4pkBnp,49FFDD682CDC43E2BFFE699FFB7E8C92,5,Fly Away,F.I.R.,F.I.R.,2004
RFnY9lKABdh3OPh0,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
KsU5pxF3CLQQ7vqF,49FFDD682CDC43E2BFFE699FFB7E8C92,6,Fly Away,F.I.R.,F.I.R.,2004
y3rlHSCG8AJdJnsr,49FFDD682CDC43E2BFFE699FFB7E8C92,7,Fly Away,F.I.R.,F.I.R.,2004
UNl8Vfb5Z021JhMo,49FFDD682CDC43E2BFFE699FFB7E8C92,4,Fly Away,F.I.R.,F.I.R.,2004
wki5qZwrLlzLGGI8,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
YjTX5GnqTLuMSeL7,49FFDD682CDC43E2BFFE699FFB7E8C92,4,Fly Away,F.I.R.,F.I.R.,2004
81rPEVM1h2luP8Mk,49FFDD682CDC43E2BFFE699FFB7E8C92,5,Fly Away,F.I.R.,F.I.R.,2004
vI8S8jRKJ5DBcNzO,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
gTVW2vPFCHXhTnKS,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
YCXHDXKkRDTwsI2j,49FFDD682CDC43E2BFFE699FFB7E8C92,0,Fly Away,F.I.R.,F.I.R.,2004
yQ7Kq5VaPipRSR0I,49FFDD682CDC43E2BFFE699FFB7E8C92,3,Fly Away,F.I.R.,F.I.R.,2004
UPDtYry4oPFGkANU,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
pgzWbqJGshM1FZBT,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
sUj7jz2J9QFiVJYN,49FFDD682CDC43E2BFFE699FFB7E8C92,1,Fly Away,F.I.R.,F.I.R.,2004
2Swwu4PW1lFkXqKC,49FFDD682CDC43E2BFFE699FFB7E8C92,2,Fly Away,F.I.R.,F.I.R.,2004
7SKJ90umjnrTMfKx,49FFDD682CDC43E2BFFE699FFB7E8C92,4,Fly Away,F.I.R.,F.I.R.,2004
jA1iHb6bOUCJMKNX,1B1E59D777054BAE899FE5102DD40B2B,3,Lydia,F.I.R.,F.I.R.,2004
6Xue1Nq1YcfATotf,1B1E59D777054BAE899FE5102DD40B2B,3,Lydia,F.I.R.,F.I.R.,2004
bEk5UwBuEZytHkQ8,1B1E59D777054BAE899FE5102DD40B2B,1,Lydia,F.I.R.,F.I.R.,2004
VeEnVo6i5BhZlLjF,1B1E59D777054BAE899FE5102DD40B2B,5,Lydia,F.I.R.,F.I.R.,2004
h71bhhZ8nqGDm9bT,1B1E59D777054BAE899FE5102DD40B2B,2,Lydia,F.I.R.,F.I.R.,2004
mzHcrzGzjHnhYKEa,1B1E59D777054BAE899FE5102DD40B2B,4,Lydia,F.I.R.,F.I.R.,2004
UMeVgK38l6SQLxiG,1B1E59D777054BAE899FE5102DD40B2B,5,Lydia,F.I.R.,F.I.R.,2004
iGjxzFBdl8v1XUJJ,1B1E59D777054BAE899FE5102DD40B2B,1,Lydia,F.I.R.,F.I.R.,2004
JbYp8g2oILo4mhuW,1B1E59D777054BAE899FE5102DD40B2B,0,Lydia,F.I.R.,F.I.R.,2004
HXlyP3AvhIAbxjqC,1B1E59D777054BAE899FE5102DD40B2B,4,Lydia,F.I.R.,F.I.R.,2004
